station_id;station_name;min;max;wait_cost
854101;Мошково;0;600;600
854402;Болотная;0;600;600
860009;Новокузнецк-Сортировочный;0;600;600
860206;Новокузнецк-Восточный;0;600;600
861302;Егозово;0;600;600
862108;Терентьевская;64;213;600
862201;Мереть;0;600;600
862305;Белово;0;600;600
862409;Разрез;0;600;600
862502;Гурьевск;0;600;600
